title,link,publication_date,abstract,conclusions,"ml_techniques: (ex: [('Traditional ML', ['regression', 'decision tree', 'svm', 'k-means']), ('DNN', ['cnn', 'rnn', 'lstm', 'deep learning']), ('Gen AI', ['transformer', 'gan', 'diffusion model', 'bert'])])","security_privacy: (ex: [('Attack Types', ['evasion', 'poisoning', 'backdoor', 'membership inference', 'model inversion', 'data reconstruction', 'untargeted poisoning', 'energy latency attack']), ('Attacker Identity', ['patient', 'healthcare practitioner', 'ml service provider', '3rd-party healthcare organization', 'cybercriminals', 'business competitors']), ('Attacker Capability', ['training data control', 'model control', 'testing data control', 'query access', 'explanation access'])])"
A molecular barcode and web-based data analysis tool to identify imported Plasmodium vivax malaria,https://www.nature.com/articles/s42003-022-04352-2,23 Dec 2022,"Traditionally, patient travel history has been used to distinguish imported from autochthonous malaria cases, but the dormant liver stages of Plasmodium vivax confound this approach. Molecular tools offer an alternative method to identify, and map imported cases. Using machine learning approaches incorporating hierarchical fixation index and decision tree analyses applied to 799 P. vivax genomes from 21 countries, we identified 33-SNP, 50-SNP and 55-SNP barcodes (GEO33, GEO50 and GEO55), with high capacity to predict the infection’s country of origin. The Matthews correlation coefficient (MCC) for an existing, commonly applied 38-SNP barcode (BR38) exceeded 0.80 in 62% countries. The GEO panels outperformed BR38, with median MCCs > 0.80 in 90% countries at GEO33, and 95% at GEO50 and GEO55. An online, open-access, likelihood-based classifier framework was established to support data analysis (vivaxGEN-geo). The SNP selection and classifier methods can be readily amended for other use cases to support malaria control programs.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Surgical gestures as a method to quantify surgical performance and predict patient outcomes,https://www.nature.com/articles/s41746-022-00738-y,22 Dec 2022,"How well a surgery is performed impacts a patient’s outcomes; however, objective quantification of performance remains an unsolved challenge. Deconstructing a procedure into discrete instrument-tissue “gestures” is a emerging way to understand surgery. To establish this paradigm in a procedure where performance is the most important factor for patient outcomes, we identify 34,323 individual gestures performed in 80 nerve-sparing robot-assisted radical prostatectomies from two international medical centers. Gestures are classified into nine distinct dissection gestures (e.g., hot cut) and four supporting gestures (e.g., retraction). Our primary outcome is to identify factors impacting a patient’s 1-year erectile function (EF) recovery after radical prostatectomy. We find that less use of hot cut and more use of peel/push are statistically associated with better chance of 1-year EF recovery. Our results also show interactions between surgeon experience and gesture types—similar gesture selection resulted in different EF recovery rates dependent on surgeon experience. To further validate this framework, two teams independently constructe distinct machine learning models using gesture sequences vs. traditional clinical features to predict 1-year EF. In both models, gesture sequences are able to better predict 1-year EF (Team 1: AUC 0.77, 95% CI 0.73–0.81; Team 2: AUC 0.68, 95% CI 0.66–0.70) than traditional clinical features (Team 1: AUC 0.69, 95% CI 0.65–0.73; Team 2: AUC 0.65, 95% CI 0.62–0.68). Our results suggest that gestures provide a granular method to objectively indicate surgical performance and outcomes. Application of this methodology to other surgeries may lead to discoveries on methods to improve surgery.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Machine learning-assisted system using digital facial images to predict the clinical activity score in thyroid-associated orbitopathy,https://www.nature.com/articles/s41598-022-25887-8,21 Dec 2022,"Although the clinical activity score (CAS) is a validated scoring system for identifying disease activity of thyroid-associated orbitopathy (TAO), it may produce differing results depending on the evaluator, and an experienced ophthalmologist is required for accurate evaluation. In this study, we developed a machine learning (ML)-assisted system to mimic an expert’s CAS assessment using digital facial images and evaluated its accuracy for predicting the CAS and diagnosing active TAO (CAS ≥ 3). An ML-assisted system was designed to assess five CAS components related to inflammatory signs (redness of the eyelids, redness of the conjunctiva, swelling of the eyelids, inflammation of the caruncle and/or plica, and conjunctival edema) in patients’ facial images and to predict the CAS by considering two components of subjective symptoms (spontaneous retrobulbar pain and pain on gaze). To train and test the system, 3,060 cropped images from 1020 digital facial images of TAO patients were used. The reference CAS for each image was scored by three ophthalmologists, each with > 15 years of clinical experience. We repeated the experiments for 30 randomly split training and test sets at a ratio of 8:2. The sensitivity and specificity of the ML-assisted system for diagnosing active TAO were 72.7% and 83.2% in the test set constructed from the entire dataset. For the test set constructed from the dataset with consistent results for the three ophthalmologists, the sensitivity and specificity for diagnosing active TAO were 88.1% and 86.9%. In the test sets from the entire dataset and from the dataset with consistent results, 40.0% and 49.9% of the predicted CAS values were the same as the reference CAS, respectively. The system predicted the CAS within 1 point of the reference CAS in 84.6% and 89.0% of cases when tested using the entire dataset and in the dataset with consistent results, respectively. An ML-assisted system estimated the clinical activity of TAO and detect inflammatory active TAO with reasonable accuracy. The accuracy could be improved further by obtaining more data. This ML-assisted system can help evaluate the disease activity consistently as well as accurately and enable the early diagnosis and timely treatment of active TAO.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Identifying and evaluating barriers for the implementation of machine learning in the intensive care unit,https://www.nature.com/articles/s43856-022-00225-1,21 Dec 2022,"Despite apparent promise and the availability of numerous examples in the literature, machine learning models are rarely used in practice in ICU units. This mismatch suggests that there are poorly understood barriers preventing uptake, which we aim to identify.",Conclusions not available,"Traditional ML, DNN, Gen AI","Attack Types: ; Attacker Identity: patient, healthcare practitioner; Attacker Capability: "
Early prediction of upper limb functioning after stroke using clinical bedside assessments: a prospective longitudinal study,https://www.nature.com/articles/s41598-022-26585-1,21 Dec 2022,"Early and accurate prediction of recovery is needed to assist treatment planning and inform patient selection in clinical trials. This study aimed to develop a prediction algorithm using a set of simple early clinical bedside measures to predict upper limb capacity at 3-months post-stroke. A secondary analysis of Stroke Arm Longitudinal Study at Gothenburg University (SALGOT) included 94 adults (mean age 68 years) with upper limb impairment admitted to stroke unit). Cluster analysis was used to define the endpoint outcome strata according to the 3-months Action Research Arm Test (ARAT) scores. Modelling was carried out in a training (70%) and testing set (30%) using traditional logistic regression, random forest models. The final algorithm included 3 simple bedside tests performed 3-days post stroke: ability to grasp, to produce any measurable grip strength and abduct/elevate shoulder. An 86–94% model sensitivity, specificity and accuracy was reached for differentiation between poor, limited and good outcome. Additional measurement of grip strength at 4 weeks post-stroke and haemorrhagic stroke explained the underestimated classifications. External validation of the model is recommended. Simple bedside assessments have advantages over more lengthy and complex assessments and could thereby be integrated into routine clinical practice to aid therapy decisions, guide patient selection in clinical trials and used in data registries.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Machine learning-derived gut microbiome signature predicts fatty liver disease in the presence of insulin resistance,https://www.nature.com/articles/s41598-022-26102-4,17 Dec 2022,"A simple predictive biomarker for fatty liver disease is required for individuals with insulin resistance. Here, we developed a supervised machine learning-based classifier for fatty liver disease using fecal 16S rDNA sequencing data. Based on the Kangbuk Samsung Hospital cohort (n = 777), we generated a random forest classifier to predict fatty liver diseases in individuals with or without insulin resistance (n = 166 and n = 611, respectively). The model performance was evaluated based on metrics, including accuracy, area under receiver operating curve (AUROC), kappa, and F1-score. The developed classifier for fatty liver diseases performed better in individuals with insulin resistance (AUROC = 0.77). We further optimized the classifiers using genetic algorithm. The improved classifier for insulin resistance, consisting of ten microbial genera, presented an advanced classification (AUROC = 0.93), whereas the improved classifier for insulin-sensitive individuals failed to distinguish participants with fatty liver diseases from the healthy. The classifier for individuals with insulin resistance was comparable or superior to previous methods predicting fatty liver diseases (accuracy = 0.83, kappa = 0.50, F1-score = 0.89), such as the fatty liver index. We identified the ten genera as a core set from the human gut microbiome, which could be a diagnostic biomarker of fatty liver diseases for insulin resistant individuals. Collectively, these findings indicate that the machine learning classifier for fatty liver diseases in the presence of insulin resistance is comparable or superior to commonly used methods.",Conclusions not available,,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Label-free testing strategy to evaluate packed red blood cell quality before transfusion to leukemia patients,https://www.nature.com/articles/s41598-022-26309-5,17 Dec 2022,"Patients worldwide require therapeutic transfusions of packed red blood cells (pRBCs), which is applied to the high-risk patients who need periodic transfusions due to leukemia,  lymphoma, myeloma and other blood diseases or disorders. Contrary to the general hospital population where the transfusions are carried out mainly for healthy trauma patients, in case of high-risk patients the proper quality of pRBCs is crucial. This leads to an increased demand for efficient technology providing information on the pRBCs alterations deteriorating their quality. Here we present the design of an innovative, label-free, noninvasive, rapid Raman spectroscopy-based method for pRBCs quality evaluation, starting with the description of sample measurement and data analysis, through correlation of spectroscopic results with reference techniques' outcomes, and finishing with methodology verification and its application in clinical conditions. We have shown that Raman spectra collected from the pRBCs supernatant mixture with a proper chemometric analysis conducted for a minimum one ratio of integral intensities of the chosen Raman marker bands within the spectrum allow evaluation of the pRBC quality in a rapid, noninvasive, and free-label manner, without unsealing the pRBCs bag. Subsequently, spectroscopic data were compared with predefined reference values, either from pRBCs expiration or those defining the pRBCs quality, allowing to assess their utility for transfusion to patients with acute myeloid leukemia (AML) and lymphoblastic leukemia (ALL).",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Periportal steatosis in mice affects distinct parameters of pericentral drug metabolism,https://www.nature.com/articles/s41598-022-26483-6,17 Dec 2022,"Little is known about the impact of morphological disorders in distinct zones on metabolic zonation. It was described recently that periportal fibrosis did affect the expression of CYP proteins, a set of pericentrally located drug-metabolizing enzymes. Here, we investigated whether periportal steatosis might have a similar effect. Periportal steatosis was induced in C57BL6/J mice by feeding a high-fat diet with low methionine/choline content for either two or four weeks. Steatosis severity was quantified using image analysis. Triglycerides and CYP activity were quantified in photometric or fluorometric assay. The distribution of CYP3A4, CYP1A2, CYP2D6, and CYP2E1 was visualized by immunohistochemistry. Pharmacokinetic parameters of test drugs were determined after injecting a drug cocktail (caffeine, codeine, and midazolam). The dietary model resulted in moderate to severe mixed steatosis confined to periportal and midzonal areas. Periportal steatosis did not affect the zonal distribution of CYP expression but the activity of selected CYPs was associated with steatosis severity. Caffeine elimination was accelerated by microvesicular steatosis, whereas midazolam elimination was delayed in macrovesicular steatosis. In summary, periportal steatosis affected parameters of pericentrally located drug metabolism. This observation calls for further investigations of the highly complex interrelationship between steatosis and drug metabolism and underlying signaling mechanisms.",Conclusions not available,Gen AI,Attack Types: ; Attacker Identity: patient; Attacker Capability: 
The influence of patient characteristics on the alarm rate in intensive care units: a retrospective cohort study,https://www.nature.com/articles/s41598-022-26261-4,16 Dec 2022,"Intensive care units (ICU) are often overflooded with alarms from monitoring devices which constitutes a hazard to both staff and patients. To date, the suggested solutions to excessive monitoring alarms have remained on a research level. We aimed to identify patient characteristics that affect the ICU alarm rate with the goal of proposing a straightforward solution that can easily be implemented in ICUs. Alarm logs from eight adult ICUs of a tertiary care university-hospital in Berlin, Germany were retrospectively collected between September 2019 and March 2021. Adult patients admitted to the ICU with at least 24 h of continuous alarm logs were included in the study. The sum of alarms per patient per day was calculated. The median was 119. A total of 26,890 observations from 3205 patients were included. 23 variables were extracted from patients' electronic health records (EHR) and a multivariable logistic regression was performed to evaluate the association of patient characteristics and alarm rates. Invasive blood pressure monitoring (adjusted odds ratio (aOR) 4.68, 95%CI 4.15–5.29, p < 0.001), invasive mechanical ventilation (aOR 1.24, 95%CI 1.16–1.32, p < 0.001), heart failure (aOR 1.26, 95%CI 1.19–1.35, p < 0.001), chronic renal failure (aOR 1.18, 95%CI 1.10–1.27, p < 0.001), hypertension (aOR 1.19, 95%CI 1.13–1.26, p < 0.001), high RASS (aOR 1.22, 95%CI 1.18–1.25, p < 0.001) and scheduled surgical admission (aOR 1.22, 95%CI 1.13–1.32, p < 0.001) were significantly associated with a high alarm rate. Our study suggests that patient-specific alarm management should be integrated in the clinical routine of ICUs. To reduce the overall alarm load, particular attention regarding alarm management should be paid to patients with invasive blood pressure monitoring, invasive mechanical ventilation, heart failure, chronic renal failure, hypertension, high RASS or scheduled surgical admission since they are more likely to have a high contribution to noise pollution, alarm fatigue and hence compromised patient safety in ICUs.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
The PAD-US-AR dataset: Measuring accessible and recreational parks in the contiguous United States,https://www.nature.com/articles/s41597-022-01857-7,16 Dec 2022,"Most spatial epidemiological studies of nature-health relationships use generalized greenspace measures. For instance, coarse-resolution spatial data containing normalized difference vegetative index (NDVI) values are prominent despite criticisms, such as the inability to restrain exposure estimates to public and private land. Non-threatening natural landscapes can improve health by building capacities for health-promoting behaviors. Recreational and accessible parks may best activate such behaviors. We curated the Parks and Protected Areas Database of the U.S. (PAD-US) to identify parks that are accessible for outdoor recreation. Our title adds “AR” to “PAD-US” where A = Accessible and R = Recreational. We validated the PAD-US-AR by comparisons with greenspace datasets and sociodemographics, which demonstrated its uniqueness from other commonly employed metrics of nature exposure. The PAD-US-AR presents reliable estimates of parks in the contiguous U.S. that are accessible for outdoor recreation. It has strong associations with home prices, shares of female residents, and shares of older residents. This dataset can accompany other nature exposure metrics in environmental epidemiology and allied research fields.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: ; Attacker Capability: 
Rebubbling and graft detachment in Descemet membrane endothelial keratoplasty using a standardised protocol,https://www.nature.com/articles/s41433-022-02362-2,15 Dec 2022,To analyse risk factors and long-term outcomes after rebubbling and graft detachment in Descemet membrane endothelial keratoplasty (DMEK).,Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
